"R0000100","R0001900","R0006500","R0009100","R0217900"
1,11,8,1,30000
2,11,5,8,20000
3,21,10,3,22390
4,21,11,3,22390
5,11,12,1,36000
6,11,12,1,35000
7,51,12,1,8502
8,11,9,7,7227
9,21,12,4,17000
10,51,12,3,3548
11,51,12,1,12000
12,11,15,3,25000
13,11,12,2,20000
14,11,12,2,-2
15,11,12,1,22000
16,11,12,3,48000
17,51,12,2,15000
18,-3,12,2,4510
19,11,10,3,9000
20,11,12,2,50000
21,11,12,2,40000
22,11,12,1,18000
23,11,12,2,44000
24,11,12,2,44000
25,11,14,1,-2
26,21,16,2,30000
27,11,14,1,20000
28,11,14,1,20000
29,11,0,1,24200
30,11,-2,1,24200
31,51,9,2,5088
32,11,12,2,22500
33,11,12,2,23500
34,11,13,5,21000
35,51,12,5,18000
36,21,14,3,21000
37,11,12,4,37000
38,11,12,4,37000
39,12,12,4,22000
40,51,10,2,5500
41,51,10,3,5500
42,11,14,1,21000
43,21,10,2,-2
44,11,12,4,30000
45,51,9,2,15000
46,21,12,0,28000
47,11,12,1,32388
48,91,12,3,9000
49,11,12,6,23900
50,51,9,4,28000
51,51,9,4,28000
52,11,12,6,8000
53,11,-2,3,15646
54,11,3,3,15000
55,11,12,2,12000
56,11,12,2,12000
57,11,12,1,23289
58,11,12,2,50000
59,11,-2,2,50000
60,11,12,2,50000
61,11,12,3,32000
62,11,12,3,32000
63,11,12,3,37000
64,11,15,3,37000
65,11,16,3,37000
66,11,12,3,-1
67,11,-3,1,35000
68,11,16,1,40000
69,11,17,1,40000
70,11,20,1,-3
71,11,17,1,-2
72,11,14,2,-1
73,51,16,2,25000
74,11,15,3,-2
75,11,14,3,-1
76,11,16,3,-2
77,11,16,1,-1
78,11,16,2,32000
79,11,16,2,35000
80,11,14,5,-1
81,11,12,5,-1
82,11,-2,6,-1
83,11,6,3,22426
84,11,-2,3,22426
85,11,11,7,12475
86,11,9,7,1688
87,11,11,7,12475
88,21,12,1,-2
89,21,12,8,29000
90,11,5,2,-2
91,11,5,2,-2
92,21,12,1,-1
93,11,-2,1,8000
94,11,10,2,24000
95,11,10,2,24000
96,11,6,2,3000
97,11,12,7,8000
98,11,17,2,6618
99,11,12,1,22500
100,51,-2,2,5904
101,11,10,1,15000
102,11,10,1,15000
103,-3,11,2,16400
104,11,12,0,-1
105,51,12,0,28000
106,11,12,1,11000
107,11,11,2,25000
108,11,11,2,25000
109,11,-3,2,18000
110,11,-2,3,-2
111,11,11,3,-2
112,11,12,3,-2
113,11,-2,3,-2
114,11,6,3,-2
115,11,10,2,52300
116,11,10,2,52300
117,11,10,2,52300
118,80,-2,2,14000
119,11,11,2,7400
120,11,16,2,60000
121,11,17,2,60000
122,11,11,1,12000
123,11,16,1,-2
124,11,14,7,-2
125,11,12,7,30000
126,11,14,7,30000
127,11,12,1,15000
128,11,10,-3,-2
129,11,13,3,45000
130,11,0,7,0
131,11,13,10,0
132,11,-2,5,-3
133,11,10,4,25000
134,11,9,5,-3
135,11,9,5,-3
136,11,-2,1,-2
137,11,13,4,40000
138,11,14,4,40000
139,11,16,4,40000
140,11,15,1,36000
141,11,12,2,29000
142,11,9,3,17000
143,11,10,3,17000
144,51,9,3,17000
145,11,12,3,12000
146,11,12,3,12000
147,11,10,0,22000
148,51,12,2,22000
149,21,11,2,22000
150,21,12,0,35000
151,11,12,2,35000
152,11,12,2,35000
153,21,12,2,25000
154,21,12,2,25000
155,11,12,3,18000
156,51,12,4,0
157,11,12,2,35000
158,11,12,2,35000
159,11,12,2,35000
160,11,8,3,17000
161,11,-2,3,17000
162,11,16,2,24000
163,11,16,2,24000
164,11,12,3,-2
165,11,10,3,20000
166,11,10,3,20000
167,11,12,4,-2
168,51,6,4,3874
169,51,6,4,3874
170,33,12,1,-2
171,11,13,0,-1
172,15,12,9,3162
173,41,10,2,5000
174,51,13,1,30000
175,11,12,2,6600
176,11,12,2,-2
177,11,12,2,8813
178,11,12,2,-2
179,11,11,2,10000
180,11,12,4,18698
181,11,14,1,12000
182,15,-2,1,12000
183,11,12,3,23000
184,11,12,3,23000
185,11,12,3,23000
186,11,12,2,30000
187,11,12,2,30000
188,11,10,1,22000
189,11,10,2,-2
190,11,16,2,26000
191,11,16,2,26000
192,11,12,1,20000
193,11,12,1,28000
194,11,12,1,28000
195,11,10,1,31000
196,11,20,1,70000
197,11,11,3,25000
198,11,16,1,30000
199,11,12,2,65000
200,11,16,2,25200
201,11,13,1,49000
202,11,16,1,4300
203,51,10,1,6159
204,21,5,5,-3
205,11,-2,4,11960
206,21,11,2,13000
207,21,9,2,13000
208,11,-2,3,7800
209,11,12,2,48000
210,11,12,2,20000
211,11,12,2,20000
212,11,12,3,-3
213,11,12,3,-1
214,11,12,3,-1
