"R0000100","R0307100","R0307800","R0310100","R0310600","R0310900","R0402800","R0612100","R0828400","R1075700","R1451400","R1798600","R2160200","R2369100","R2500000","R2900000","R3100000","R3500000","R3700000","R4100300","R4500300","R5200300","R5800200","R6530300","R7090700","R7800600","T0001000","T1200800","T2260700","T3195700"
1,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,0,0,0,-4,-4,-4,-4,-4,-4,17,19,19,11,11,11,11,11,11,11,11,19,11,11,11,11,11,11,11,11
3,0,0,0,-4,-4,11,-5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-5,11,11,-5,11
4,-5,-5,-5,-5,-5,-5,11,11,11,11,11,11,11,11,11,11,-5,11,11,-5,11,11,-5,-5,-5,-5,-5,-5,-5
5,0,0,0,-4,-4,3,3,3,3,11,-5,11,-5,11,11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,0,0,0,-4,-4,3,6,3,17,17,11,11,11,11,11,11,11,11,11,11,11,-5,11,11,11,11,11,11,11
7,0,0,0,-4,-4,-4,-4,11,1,2,1,1,1,2,11,11,11,11,11,19,11,11,11,11,11,11,11,19,-5
8,0,0,0,-4,-4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
9,0,0,0,0,0,-4,-4,-4,-4,-4,19,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
10,0,0,0,-4,-4,-4,-4,-4,11,11,11,-5,-5,11,-5,11,11,11,11,11,-5,-5,-5,-5,-5,-5,-5,-5,-5
11,-5,-5,-5,-5,-5,-5,3,-4,17,17,19,-5,-5,-5,11,11,11,11,11,11,11,11,11,11,11,-5,-5,-5,-5
12,0,0,0,-4,-4,-4,-4,-4,11,11,11,-5,-5,-5,-5,-5,-5,-5,11,11,-5,-5,-5,-5,-5,-5,-5,-5,-5
13,0,0,0,0,0,3,-4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,19,11,-5,-5,-5
14,0,0,0,0,0,-4,-4,-4,3,3,3,19,11,11,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11
15,0,0,0,-4,-4,-4,-4,-4,3,3,19,19,19,2,2,19,19,19,11,11,11,11,11,11,11,11,11,11,11
16,0,0,0,0,0,11,-4,-4,17,-4,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
17,1,0,0,0,0,-4,-4,-4,-4,-4,19,11,19,19,11,19,19,11,11,11,11,19,11,19,11,11,11,11,11
18,0,0,0,0,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
19,0,0,0,-4,-4,-4,-4,-4,-5,17,19,19,19,11,11,11,11,11,11,11,-5,11,-5,-5,-5,11,-5,11,-5
20,0,0,0,-4,-4,3,3,-4,17,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-5,11
21,0,0,0,0,0,3,3,3,17,17,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
22,0,0,0,-4,-4,-4,-4,-4,-4,-4,19,19,11,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
23,0,0,0,-4,-4,3,3,3,3,-5,-5,-5,-5,-5,-5,-5,11,19,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
24,0,0,0,-4,-4,-4,-4,-4,-4,-5,19,11,11,11,11,11,-5,11,11,11,19,11,-5,-5,-5,-5,-5,-5,-5
25,0,0,0,-4,-4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
26,0,0,0,-4,-4,-4,3,3,-4,2,2,11,11,11,11,13,13,12,11,-5,-5,-5,-5,-5,-5,-5,-5,11,11
27,0,0,0,-4,-4,11,11,-4,-4,-4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
28,0,0,0,-4,-4,-4,-4,-4,-4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-5,-5,-5,-5,11,-5
29,0,0,0,-4,-4,-4,-4,-4,17,17,19,19,19,11,19,19,19,11,11,11,11,11,11,11,11,11,11,11,11
30,0,0,0,-4,-4,-4,-4,11,-5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
31,0,0,0,-4,-4,-4,-4,-4,-4,-4,19,11,11,11,11,11,11,11,11,11,-5,11,11,11,11,11,11,11,11
32,-5,-5,-5,-5,-5,-5,-4,11,11,11,19,11,11,11,11,-5,-5,16,11,11,11,-5,-5,-5,11,11,-5,11,-5
33,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,19,19,19,19,19,-5,-5,-5,-5,11,11,11,11
34,0,0,0,-4,-4,-4,-4,11,11,17,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16
35,0,0,0,-4,-4,-4,-4,-4,17,17,19,19,11,11,11,11,11,11,11,11,11,11,-5,-5,-5,-5,-5,-5,-5
36,1,1,1,1,1,5,11,11,11,11,11,-5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
37,0,0,0,-4,-4,-4,-4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
38,0,0,0,-4,-4,-4,-4,-4,17,11,19,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
39,-5,-5,-5,-5,-5,-5,11,11,11,17,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
40,0,0,0,-4,-4,-4,11,-4,17,11,11,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
41,0,0,0,-4,-4,-4,-4,-4,17,17,19,19,11,11,11,11,11,11,11,11,11,-5,11,11,11,11,11,11,11
42,0,0,0,-4,-4,-4,-4,-4,-4,17,19,19,11,11,11,19,11,11,11,11,11,11,11,11,11,11,11,11,11
43,0,0,0,-4,-4,11,-4,-4,-4,11,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
44,0,0,0,-4,-4,-4,11,11,-4,11,11,11,11,11,11,11,11,11,11,-5,11,11,11,11,11,11,11,11,11
45,0,0,0,-4,-4,-4,-4,11,17,17,19,11,11,11,11,11,11,11,11,11,-5,-5,-5,-5,-5,-5,-5,-5,-5
46,0,0,0,-4,-4,-4,-4,3,3,3,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-5,-5
47,1,1,0,1,0,-4,11,-4,-4,17,19,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
48,0,0,0,-4,-4,11,-5,11,11,-5,-5,-5,-5,-5,11,-5,11,11,11,11,-5,-5,-5,-5,-5,-5,-5,-5,-5
49,0,0,0,-4,-4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
50,0,0,0,-4,-4,-4,-4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
51,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
52,0,0,0,1,0,11,11,11,11,11,11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,11
53,0,0,1,-4,-4,-4,-4,-4,-4,-4,18,6,11,11,11,11,11,19,11,11,11,11,11,11,11,11,11,11,11
54,0,0,0,0,0,-4,-4,-4,11,11,11,11,11,11,11,11,11,11,11,-5,11,11,11,11,-5,-5,-5,11,-5
55,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
56,0,0,0,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
57,0,0,0,-4,-4,11,11,-4,11,17,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
58,0,0,0,-4,-4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-5,11,11,11,11,11
59,0,0,0,0,0,-4,-4,-4,17,-4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
60,0,0,1,-3,-3,-4,-4,-5,11,17,11,11,11,11,11,11,11,11,11,11,11,11,11,-5,-5,-5,-5,-5,11
61,0,0,0,-4,-4,-4,-4,-4,17,-4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
62,0,0,0,-4,-4,-4,-4,-4,11,-4,19,19,19,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11
63,1,0,0,0,0,-4,3,3,17,17,11,11,11,-5,-5,-5,-5,-5,11,11,6,11,11,11,11,11,11,11,11
64,0,0,0,0,0,3,11,-4,11,11,11,19,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
65,0,0,0,-4,-4,-4,-4,-4,17,3,19,19,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
66,0,0,0,0,0,-4,-4,-4,-4,3,19,19,19,11,11,11,-5,11,11,11,11,6,-5,6,11,11,11,11,11
67,0,0,0,0,0,3,11,11,11,11,-5,-5,11,11,11,11,11,11,11,11,11,-5,-5,11,-5,11,11,11,11
68,0,0,0,-4,-4,-4,3,3,11,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
69,0,0,0,-4,-4,-4,-4,-4,3,3,3,3,-5,-5,-5,-5,-5,-5,11,11,11,11,11,11,11,11,11,11,11
70,0,0,0,-4,-4,-4,3,3,3,17,19,19,19,11,11,11,11,11,11,11,11,11,-5,11,11,-5,11,11,11
71,0,0,0,-4,-4,-4,-4,3,3,3,3,11,19,11,11,11,11,11,11,-5,11,11,11,-5,-5,-5,-5,11,-5
72,0,0,0,0,0,11,-4,11,11,11,11,11,11,11,11,19,11,11,11,11,11,11,11,11,11,11,11,11,11
73,0,0,0,0,0,3,3,3,3,3,3,3,-5,11,11,-5,-5,-5,11,11,11,-5,11,11,11,11,11,11,-5
74,1,0,1,0,0,11,-4,-4,11,17,11,19,11,11,11,11,11,11,11,11,-5,-5,-5,-5,-5,-5,-5,-5,-5
75,0,0,0,-4,-4,-4,3,3,3,11,11,11,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
76,0,0,0,0,0,-4,-4,-4,3,3,11,11,11,11,11,11,11,11,11,11,19,19,11,11,11,11,11,11,11
77,0,0,0,-4,-4,-4,-4,-4,3,3,3,3,19,11,11,19,11,11,19,11,19,11,11,11,11,11,11,11,11
78,0,0,0,-4,-4,-4,-4,-4,-4,17,19,19,19,11,11,11,11,11,11,11,11,6,11,-5,11,11,-5,-5,-5
79,0,0,0,-4,-4,3,3,3,3,3,19,19,11,19,11,11,11,11,11,11,11,11,16,11,11,-5,-5,-5,-5
80,0,0,0,-4,-4,-4,-4,-4,17,-5,11,-5,-5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
81,0,0,0,-4,-4,-4,-4,-4,17,-5,11,11,11,11,11,11,11,11,11,11,11,11,11,-5,11,11,-5,-5,-5
82,0,0,0,0,0,-4,-4,-5,-5,-5,19,19,-5,19,5,5,5,5,5,5,11,11,16,-5,-5,-5,5,-5,-5
83,1,1,1,1,1,5,-4,-4,17,-4,19,19,19,5,5,19,19,11,19,19,11,19,19,11,19,19,11,11,19
84,0,0,0,-4,-4,-4,-4,-4,17,-4,5,5,5,5,5,15,19,19,5,5,5,5,19,11,19,19,11,11,19
