"R0000100","R0216600","R0216700","R0406400","R0406500","R0618900","R0619000","R0898200","R0898300","R1145000","R1145100","R1520200","R1520300","R1890900","R1891000","R2258000","R2258100","R2445400","R2445500","R2871100","R2871200","R3074800","R3074900","R3401500","R3401600","R3656900","R3657000","R4007400","R4007500","R4418500","R4418600","R5081500","R5081600","R5166800","R5166900","R6479400","R6479500","R7007100","R7007200","R7704400","R7704500","R8496800","R8496900","T0988600","T0988700","T2210600","T3108500","T4113000"
1,4,12,-5,-5,12,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,1,9,9,1,9,1,9,1,9,1,9,1,12,2,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,12,12
3,1,10,10,1,-5,-5,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,12,3,12,3,12,4,12,4,12,4,12,4,-5,-5,12,4,12,-5,12
4,2,9,-5,-5,9,1,9,1,9,1,13,3,13,3,14,4,14,4,14,4,14,4,14,4,-5,-5,14,4,14,4,-5,-5,14,4,14,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,3,13,14,3,15,3,16,3,17,3,18,3,-5,-5,18,4,-5,-5,18,4,18,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,3,12,13,3,14,3,15,3,16,4,16,4,16,4,16,4,16,4,16,4,16,4,16,4,16,4,16,4,16,4,16,4,16,4,-5,-5,16,4,16,4,16,4,16,4,16,16,16
7,2,8,9,2,10,2,11,2,12,4,12,4,12,3,12,4,12,4,12,3,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,12,-5
8,4,12,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,3,12,3,13,3,14,4,14,4,14,4,14,14,14
9,2,9,10,2,11,2,12,4,12,3,12,3,12,4,13,3,13,3,13,4,13,4,14,4,14,4,13,3,14,4,14,4,14,4,14,4,14,4,14,4,14,4,14,4,14,14,14
10,1,9,9,1,9,1,9,1,9,1,9,1,9,1,-5,-5,-5,-5,9,1,-5,-5,9,1,9,1,9,1,9,1,9,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11,3,13,-5,-5,15,3,16,4,16,4,16,4,16,4,-5,-5,-5,-5,-5,-5,16,4,16,4,16,4,16,4,16,4,16,4,16,4,16,4,16,4,16,4,16,4,-5,-5,-5,-5,-5
12,3,13,14,3,15,3,16,4,16,4,16,4,16,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,16,4,16,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
13,3,14,15,3,15,3,16,3,16,4,15,4,15,4,15,4,15,4,15,4,15,4,15,4,15,4,15,4,15,4,15,4,15,4,15,4,15,4,16,4,16,4,16,4,-5,-5,-5
14,2,9,10,2,11,2,12,3,13,3,14,3,15,3,16,4,16,4,16,4,16,4,16,4,16,4,16,4,16,4,16,4,17,3,17,3,19,4,19,4,19,4,19,4,19,19,19
15,2,8,9,2,10,2,11,2,12,3,13,3,14,3,15,3,16,4,16,4,16,3,16,4,16,4,16,4,16,4,16,4,16,4,16,4,16,4,16,4,16,4,16,4,16,16,16
16,4,12,12,4,12,4,12,4,12,4,13,3,13,4,12,3,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,13,13
17,4,13,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,12,4,13,13,13
18,4,12,12,4,12,4,12,4,12,4,13,3,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,13,13
