Identifier,Age,Schooling,Choice,Wage
6,16.0,11.0,schooling,
6,17.0,12.0,schooling,
6,18.0,13.0,schooling,
6,19.0,14.0,schooling,
6,20.0,15.0,schooling,
6,21.0,16.0,home,
6,22.0,16.0,white_collar,13773.23632766138
6,23.0,16.0,white_collar,15690.821048769112
6,24.0,16.0,white_collar,18635.95348037893
6,25.0,16.0,white_collar,19649.708025113203
6,26.0,16.0,white_collar,20659.23606168446
6,27.0,16.0,white_collar,21127.90313116031
6,28.0,16.0,white_collar,20042.238013698683
6,29.0,16.0,white_collar,22649.114268881367
6,30.0,16.0,white_collar,21604.736122461367
6,31.0,16.0,white_collar,24660.42645467676
6,32.0,16.0,white_collar,27444.67760882432
6,33.0,16.0,white_collar,30107.476066637384
6,34.0,16.0,white_collar,29080.28957348124
6,35.0,16.0,white_collar,32212.08534547626
6,36.0,16.0,white_collar,31789.6225242799
6,37.0,16.0,white_collar,31370.418257283807
6,38.0,16.0,white_collar,31771.838748508373
6,39.0,16.0,white_collar,39027.11410775994
6,40.0,16.0,white_collar,38341.713205716784
6,41.0,16.0,white_collar,38805.184445467494
6,42.0,16.0,white_collar,38032.03833849806
6,43.0,16.0,white_collar,46235.11961452317
6,44.0,16.0,white_collar,52251.77219670634
6,45.0,16.0,white_collar,52324.84684656166
6,46.0,16.0,white_collar,51920.86475170464
6,47.0,16.0,white_collar,52225.18098400562
6,48.0,16.0,white_collar,51691.60221479021
6,49.0,16.0,white_collar,60742.72291249161
6,50.0,16.0,white_collar,59564.098066996885
7,16.0,10.0,schooling,
7,17.0,11.0,schooling,
7,18.0,12.0,blue_collar,18305.652612546175
7,19.0,12.0,military,9330.726875333932
7,20.0,12.0,military,9121.395384170253
7,21.0,12.0,military,11132.7838561936
7,22.0,12.0,military,12331.774863808278
7,23.0,12.0,military,12876.745140980012
7,24.0,12.0,military,13973.84426555453
7,25.0,12.0,military,26650.325005752562
7,26.0,12.0,military,23380.384809535066
7,27.0,12.0,military,38550.763707504164
7,28.0,12.0,home,
7,29.0,12.0,white_collar,25799.661356799992
7,30.0,12.0,blue_collar,19849.061108702965
7,31.0,12.0,blue_collar,19615.90963248895
7,32.0,12.0,blue_collar,19650.758520654963
7,33.0,12.0,blue_collar,19934.931376861947
7,34.0,12.0,blue_collar,21552.72255782588
7,35.0,12.0,blue_collar,21181.90676807317
7,36.0,12.0,white_collar,21567.842993819977
7,37.0,12.0,white_collar,21189.06481918292
7,38.0,12.0,white_collar,19095.246049384652
7,39.0,12.0,white_collar,18853.26336286038
7,40.0,12.0,home,
7,41.0,12.0,home,
7,42.0,12.0,blue_collar,23331.36792259631
7,43.0,12.0,home,
7,44.0,12.0,home,
7,45.0,12.0,home,
9,16.0,10.0,schooling,
9,17.0,11.0,schooling,
9,18.0,12.0,blue_collar,9589.725803649406
9,19.0,12.0,blue_collar,7750.857228952995
9,20.0,12.0,blue_collar,7802.66731021405
9,21.0,12.0,white_collar,7833.780287323632
