Identifier,Age,Schooling,Choice,Wage
6,16.0,11.0,schooling,
6,17.0,12.0,schooling,
6,18.0,13.0,schooling,
6,19.0,14.0,schooling,
6,20.0,15.0,schooling,
6,21.0,16.0,home,
6,22.0,16.0,white_collar,13773.23632766138
6,23.0,16.0,white_collar,15690.821048769112
6,24.0,16.0,white_collar,18635.95348037893
6,25.0,16.0,white_collar,19649.708025113203
6,26.0,16.0,white_collar,20659.23606168446
7,16.0,10.0,schooling,
7,17.0,11.0,schooling,
7,18.0,12.0,blue_collar,18305.652612546175
7,19.0,12.0,military,9330.726875333932
7,20.0,12.0,military,9121.395384170253
7,21.0,12.0,military,11132.7838561936
7,22.0,12.0,military,12331.774863808278
7,23.0,12.0,military,12876.745140980012
9,16.0,10.0,schooling,
9,17.0,11.0,schooling,
9,18.0,12.0,blue_collar,9589.725803649406
9,19.0,12.0,blue_collar,7750.857228952995
9,20.0,12.0,blue_collar,7802.66731021405
9,21.0,12.0,white_collar,7833.780287323632
9,22.0,12.0,white_collar,12006.208536590284
9,23.0,12.0,white_collar,15125.076430601015
9,24.0,12.0,white_collar,16906.56498898492
15,16.0,10.0,schooling,
15,17.0,11.0,schooling,
15,18.0,12.0,schooling,
15,19.0,13.0,schooling,
15,20.0,14.0,schooling,
15,21.0,15.0,schooling,
15,22.0,16.0,white_collar,14365.085165526847
15,23.0,16.0,white_collar,16896.79240806643
24,16.0,10.0,schooling,
24,17.0,11.0,home,
24,18.0,11.0,home,
24,19.0,11.0,home,
24,20.0,11.0,blue_collar,14549.619515063037
24,21.0,11.0,home,
24,22.0,11.0,home,
24,23.0,11.0,home,
24,24.0,11.0,blue_collar,16053.304725824006
24,25.0,11.0,blue_collar,20158.70186670503
24,26.0,11.0,blue_collar,26385.968479918658
26,16.0,10.0,schooling,
26,17.0,11.0,schooling,
26,18.0,12.0,schooling,
26,19.0,13.0,schooling,
26,20.0,14.0,blue_collar,18013.57138350216
26,21.0,14.0,military,14437.456069442496
26,22.0,14.0,military,11282.555817150751
26,23.0,14.0,schooling,
26,24.0,15.0,home,
26,25.0,15.0,schooling,
36,16.0,9.0,schooling,
36,17.0,10.0,home,
36,18.0,10.0,home,
36,19.0,10.0,blue_collar,11761.092470069087
36,20.0,10.0,blue_collar,16107.799635422756
36,21.0,10.0,blue_collar,
36,22.0,10.0,blue_collar,16490.298891583247
36,23.0,10.0,blue_collar,33537.71981396505
36,24.0,10.0,blue_collar,32770.99893296887
36,25.0,10.0,blue_collar,37129.96927639383
41,16.0,10.0,schooling,
41,17.0,11.0,schooling,
41,18.0,12.0,home,
41,19.0,12.0,blue_collar,13173.33750453513
41,20.0,12.0,blue_collar,13554.70659527389
41,21.0,12.0,blue_collar,15305.83751071058
41,22.0,12.0,schooling,
41,23.0,13.0,schooling,
41,24.0,14.0,schooling,
41,25.0,15.0,white_collar,36630.07642772412
42,16.0,9.0,schooling,
42,17.0,10.0,schooling,
42,18.0,11.0,schooling,
